id,user_id,page_title,title,slug,image,content,page_type,meta_title,meta_description,meta_keywords,canonical_url,meta_robots
1,1,"High-Quality Web Development | WordPress, Laravel, CodeIgniter","High-Quality Web Development | WordPress, Laravel, CodeIgniter",home,assets/images/Web-Developer-in-Lahore.jpg,Best web development and design services in Lahore with our professional team. Let us help you build a successful online platform for your business.,page,"High-Quality Web Development | WordPress, Laravel, CodeIgniter",Best web development and design services in Lahore with our professional team. Let us help you build a successful online platform for your business.,"Dissertation MastersWeb Development, WordPress, Laravel, CodeIgniter",https://www.umarwaqas.com,"index, follow"
2,1,"Umar Waqas - Premier Web Development Services | Lahore, Pakistan","Umar Waqas - Premier Web Development Services | Lahore, Pakistan",about,assets/images/Web-Developer-in-Lahore.jpg,"Elevate your online presence with Umar Waqas' web development expertise in WordPress, Laravel, and CodeIgniter.",page,"Umar Waqas - Premier Web Development Services | Lahore, Pakistan","Elevate your online presence with Umar Waqas' web development expertise in WordPress, Laravel, and CodeIgniter.","Web Development, WordPress, Laravel, CodeIgniter",https://www.umarwaqas.com,"index, follow"
3,1,"Our Services - Web Development, Design, and Consulting","Our Services - Web Development, Design, and Consulting",services,assets/images/Web-Developer-in-Lahore.jpg,"Explore our wide range of services including web development, design, and consulting. We provide top-notch solutions for your digital needs.",page,"Our Services - Web Development, Design, and Consulting","Explore our wide range of services including web development, design, and consulting. We provide top-notch solutions for your digital needs.","Web Development, Design, Consulting",https://www.umarwaqas.com,"index, follow"
4,1,All Samples,All Samples,samples,assets/images/Web-Developer-in-Lahore.jpg,All Samples,page,Our Samples,Our Samples,Our Samples,https://www.umarwaqas.com,"index, follow"
5,1,How does it work?,How its Works,how-its-works,assets/images/Web-Developer-in-Lahore.jpg,How its Works,page,How its Works,How its Works,How its Works,https://www.umarwaqas.com,"index, follow"
6,1,Promo Code and Discounts,Discount,discount,assets/images/Web-Developer-in-Lahore.jpg,Discount,page,Discount,Discount,Discount,https://www.umarwaqas.com,"index, follow"
7,1,Frequently Asked Questions,Frequently Asked Questions,faqs,assets/images/Web-Developer-in-Lahore.jpg,Frequently Asked Questions,page,Frequently Asked Questions,Frequently Asked Questions,Frequently Asked Questions,https://www.umarwaqas.com,"index, follow"
8,1,Our Work - Web Development Portfolio | Umar Waqas,Our Work - Web Development Portfolio | Umar Waqas,work,assets/images/Web-Developer-in-Lahore.jpg,"View our portfolio showcasing web development projects completed by Umar Waqas. See our work in WordPress, Laravel, and other technologies.",page,Our Work - Web Development Portfolio | Umar Waqas,"View our portfolio showcasing web development projects completed by Umar Waqas. See our work in WordPress, Laravel, and other technologies.","Web Development, Portfolio, WordPress, Laravel",https://www.umarwaqas.com,"index, follow"
9,1,Satisfy Customers Review,Satisfy Customers Review,reviews,assets/images/Web-Developer-in-Lahore.jpg,Satisfy Customers Review,page,Satisfy Customers Review,Satisfy Customers Review,Satisfy Customers Review,https://www.umarwaqas.com,"index, follow"
10,1,Contact Us - Get in Touch with Umar Waqas,Contact Us - Get in Touch with Umar Waqas,contact,assets/images/Web-Developer-in-Lahore.jpg,"Contact Umar Waqas for any web development inquiries, consultations, or collaborations. We are here to assist you with your digital needs.",page,Contact Us - Get in Touch with Umar Waqas,"Contact Umar Waqas for any web development inquiries, consultations, or collaborations. We are here to assist you with your digital needs.",Contact Us,https://www.umarwaqas.com,"index, follow"
11,1,Our pricing,Our pricing,prices,assets/images/Web-Developer-in-Lahore.jpg,Our pricing,page,Our pricing,Our pricing,Our pricing,https://www.umarwaqas.com,"index, follow"
12,1,Terms And Conditions,Terms And Conditions,terms-and-conditions,assets/images/Web-Developer-in-Lahore.jpg,Terms And Conditions,page,Terms And Conditions,Terms And Conditions,Terms And Conditions,https://www.umarwaqas.com,"index, follow"
13,1,Privacy Policy,Privacy Policy,privacy-policy,assets/images/Web-Developer-in-Lahore.jpg,Privacy Policy,page,Privacy Policy,Privacy Policy,Privacy Policy,https://www.umarwaqas.com,"index, follow"
14,1,Cookie Policy,Cookie Policy,cookie-policy,assets/images/Web-Developer-in-Lahore.jpg,Cookie Policy,page,Cookie Policy,Cookie Policy,Cookie Policy,https://www.umarwaqas.com,"index, follow"
15,1,"Web Development Blog | Insights, Tips, and Trends","Web Development Blog | Insights, Tips, and Trends",blogs,assets/images/Web-Developer-in-Lahore.jpg,"Stay informed with Umar Waqas's web development blog. Discover valuable articles, expert tips, and current web development trends.",blog,"Web Development Blog | Insights, Tips, and Trends","Stay informed with Umar Waqas's web development blog. Discover valuable articles, expert tips, and current web development trends.","Web Development, WordPress, Laravel, CodeIgniter, Tips, Trends",https://www.umarwaqas.com,"index, follow"
16,1,Service,Service,service,assets/images/Web-Developer-in-Lahore.jpg,Service,service,Service,Service,Service,https://www.umarwaqas.com,"index, follow"
